route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
57,0,57,Laramie,11,11,11,1,1,1,0,0,0
57,1,57,Laramie,11,11,11,1,1,1,0,0,0
59,0,59,59th/61st,11,11,11,1,1,1,0,0,0
59,1,59,59th/61st,10,10,10,1,1,1,0,0,0
6,0,6,Jackson Park Express,14,14,14,1,1,1,0,0,0
6,1,6,Jackson Park Express,17,17,17,1,1,1,0,0,0
60,0,60,Blue Island/26th,22,22,22,1,1,1,0,0,0
60,1,60,Blue Island/26th,22,22,22,1,1,1,0,0,0
62,0,62,Archer,15,15,15,1,1,1,0,0,0
62,1,62,Archer,17,17,17,1,1,1,0,0,0
62H,0,62H,Archer/Harlem,5,5,5,1,1,1,0,0,0
62H,1,62H,Archer/Harlem,6,6,6,1,1,1,0,0,0
63,0,63,63rd,25,25,25,1,1,1,0,0,0
63W,0,63W,West 63rd,5,5,5,1,1,1,0,0,0
63W,1,63W,West 63rd,11,11,11,1,1,1,0,0,0
65,1,65,Grand,19,19,19,1,1,1,0,0,0
67,1,67,67th/69th/71st,16,16,16,1,1,1,0,0,0
68,0,68,Northwest Highway,7,7,7,1,1,1,0,0,0
68,1,68,Northwest Highway,7,7,7,1,1,1,0,0,0
7,0,7,Harrison,19,19,19,1,1,1,0,0,0
7,1,7,Harrison,11,11,11,1,1,1,0,0,0
70,0,70,Division,20,20,20,1,1,1,0,0,0
71,0,71,71st/South Shore,16,16,16,1,1,1,0,0,0
71,1,71,71st/South Shore,19,19,19,1,1,1,0,0,0
74,0,74,Fullerton,23,23,23,1,1,1,0,0,0
74,1,74,Fullerton,24,24,24,1,1,1,0,0,0
75,0,75,74th/75th,15,15,15,1,1,1,0,0,0
75,1,75,74th/75th,15,15,15,1,1,1,0,0,0
76,0,76,Diversey,25,25,25,1,1,1,0,0,0
76,1,76,Diversey,23,23,23,1,1,1,0,0,0
78,0,78,Montrose,16,16,16,1,1,1,0,0,0
79,0,79,79th,34,34,34,1,1,1,0,0,0
79,1,79,79th,32,32,32,1,1,1,0,0,0
8,0,8,Halsted,29,29,29,1,1,1,0,0,0
8,1,8,Halsted,34,34,34,1,1,1,0,0,0
80,0,80,Irving Park,21,21,21,1,1,1,0,0,0
80,1,80,Irving Park,20,20,20,1,1,1,0,0,0
81,0,81,Lawrence,20,20,20,1,1,1,0,0,0
81,1,81,Lawrence,19,19,19,1,1,1,0,0,0
81W,0,81W,West Lawrence,7,7,7,1,1,1,0,0,0
81W,1,81W,West Lawrence,7,7,7,1,1,1,0,0,0
84,1,84,Peterson,13,13,13,1,1,1,0,0,0
85,0,85,Central,13,13,13,1,1,1,0,0,0
85,1,85,Central,15,15,15,1,1,1,0,0,0
85A,0,85A,North Central,6,6,6,1,1,1,0,0,0
85A,1,85A,North Central,7,7,7,1,1,1,0,0,0
86,1,86,Narragansett/Ridgeland,10,10,10,1,1,1,0,0,0
87,0,87,87th,19,19,19,1,1,1,0,0,0
88,0,88,Higgins,7,7,7,1,1,1,0,0,0
88,1,88,Higgins,8,8,8,1,1,1,0,0,0
8A,0,8A,South Halsted,10,10,10,1,1,1,0,0,0
8A,1,8A,South Halsted,11,11,11,1,1,1,0,0,0
9,0,9,Ashland,22,22,22,1,1,1,0,0,0
9,1,9,Ashland,22,22,22,1,1,1,0,0,0
90,0,90,Harlem,8,8,8,1,1,1,0,0,0
90,1,90,Harlem,9,9,9,1,1,1,0,0,0
91,0,91,Austin,14,14,14,1,1,1,0,0,0
91,1,91,Austin,15,15,15,1,1,1,0,0,0
92,0,92,Foster,15,15,15,1,1,1,0,0,0
92,1,92,Foster,14,14,14,1,1,1,0,0,0
93,0,93,California/Dodge,10,10,10,1,1,1,0,0,0
94,0,94,California,17,17,17,1,1,1,0,0,0
94,1,94,California,22,22,22,1,1,1,0,0,0
95,0,95,95th,17,17,17,1,1,1,0,0,0
95,1,95,95th,17,17,17,1,1,1,0,0,0
96,0,96,Lunt,8,8,8,1,1,1,0,0,0
96,1,96,Lunt,6,6,6,1,1,1,0,0,0
97,0,97,Skokie,9,9,9,1,1,1,0,0,0
97,1,97,Skokie,8,8,8,1,1,1,0,0,0
Blue,0,NA,Blue Line,44,44,44,1,1,1,0,0,0
Blue,1,NA,Blue Line,36,36,36,1,1,1,0,0,0
Brn,0,NA,Brown Line,40,40,40,1,1,1,0,0,0
G,0,NA,Green Line,21,21,21,1,1,1,0,0,0
G,1,NA,Green Line,20,20,20,1,1,1,0,0,0
J14,0,J14,Jeffery Jump,18,18,18,1,1,1,0,0,0
J14,1,J14,Jeffery Jump,28,28,28,1,1,1,0,0,0
Org,1,NA,Orange Line,27,27,27,1,1,1,0,0,0
P,1,NA,Purple Line,25,25,25,1,1,1,0,0,0
Pink,1,NA,Pink Line,20,20,20,1,1,1,0,0,0
Red,0,NA,Red Line,37,37,37,1,1,1,0,0,0
Red,1,NA,Red Line,32,32,32,1,1,1,0,0,0
X4,0,X4,Cottage Grove Express,14,14,14,1,1,1,0,0,0
X4,1,X4,Cottage Grove Express,14,14,14,1,1,1,0,0,0
X49,0,X49,Western Express,18,18,18,1,1,1,0,0,0
X49,1,X49,Western Express,19,19,19,1,1,1,0,0,0
X9,0,X9,Ashland Express,19,19,19,1,1,1,0,0,0
X9,1,X9,Ashland Express,18,18,18,1,1,1,0,0,0
Y,1,NA,Yellow Line,22,22,22,1,1,1,0,0,0
