period_id,route_id,days_present,avg_headway_min,median_headway_min,n_days_in_period,share_days_present,route_short_name,route_long_name,route_type
P2,93,9,20.555555555555554,20,9,1,93,California/Dodge,3
P2,94,9,13.85,13.85,9,1,94,California,3
P2,95,9,9.466666666666667,9.466666666666667,9,1,95,95th,3
P2,96,9,30,30,9,1,96,Lunt,3
P2,97,9,20,20,9,1,97,Skokie,3
P2,Blue,9,6,6,9,1,NA,Blue Line,1
P2,Brn,9,7.5,7.5,9,1,NA,Brown Line,1
P2,G,9,10,10,9,1,NA,Green Line,1
P2,J14,9,10,10,9,1,J14,Jeffery Jump,3
P2,Org,9,8.566666666666666,8.566666666666666,9,1,NA,Orange Line,1
P2,P,9,10,10,9,1,NA,Purple Line,1
P2,Pink,9,10,10,9,1,NA,Pink Line,1
P2,Red,9,6,6,9,1,NA,Red Line,1
P2,X4,9,180,180,9,1,X4,Cottage Grove Express,3
P2,X9,9,60,60,9,1,X9,Ashland Express,3
P2,Y,9,15,15,9,1,NA,Yellow Line,1
P3,103,16,20,20,16,1,103,West 103rd,3
P3,106,16,15,15,16,1,106,East 103rd,3
P3,108,16,180,180,16,1,108,Halsted/95th,3
P3,11,16,20,20,16,1,11,Lincoln,3
P3,111,16,15,15,16,1,111,111th/King Drive,3
P3,111A,16,20,20,16,1,111A,Pullman Shuttle,3
P3,112,16,18,18,16,1,112,Vincennes/111th,3
P3,115,16,15,15,16,1,115,Pullman/115th,3
P3,119,16,12,12,16,1,119,Michigan/119th,3
P3,12,16,10.583333333333334,10.583333333333334,16,1,12,Roosevelt,3
P3,124,16,25.716666666666665,25.716666666666665,16,1,124,Navy Pier,3
P3,126,16,16.366666666666667,16.366666666666667,16,1,126,Jackson,3
P3,146,16,10,10,16,1,146,Inner Lake Shore/Michigan Express,3
P3,147,16,15,15,16,1,147,Outer DuSable Lake Shore Express,3
P3,15,16,15,15,16,1,15,Jeffery Local,3
P3,151,16,12,12,16,1,151,Sheridan,3
P3,152,16,16.366666666666667,16.366666666666667,16,1,152,Addison,3
P3,155,16,12,12,16,1,155,Devon,3
P3,156,16,20,20,16,1,156,LaSalle,3
P3,157,16,16.366666666666667,16.366666666666667,16,1,157,Streeterville/Taylor,3
P3,171,16,25.716666666666665,25.716666666666665,16,1,171,U. of Chicago/Hyde Park,3
P3,172,16,15,15,16,1,172,U. of Chicago/Kenwood,3
P3,18,16,20,20,16,1,18,16th/18th,3
P3,20,16,8.566666666666666,8.566666666666666,16,1,20,Madison,3
P3,201,16,30,30,16,1,201,Central/Ridge,3
P3,21,16,15,15,16,1,21,Cermak,3
P3,22,16,10.583333333333334,10.583333333333334,16,1,22,Clark,3
P3,24,16,20,20,16,1,24,Wentworth,3
P3,26,16,16.366666666666667,16.366666666666667,16,1,26,South Shore Express,3
P3,28,16,15,15,16,1,28,Stony Island,3
P3,29,16,12.85,12.85,16,1,29,State,3
P3,3,16,11.25,11.25,16,1,3,King Drive,3
P3,30,16,20,20,16,1,30,South Chicago,3
P3,31,16,30,30,16,1,31,31st,3
P3,34,16,10,10,16,1,34,South Michigan,3
P3,35,16,20,20,16,1,35,31st/35th,3
P3,36,16,12.85,12.85,16,1,36,Broadway,3
P3,37,16,25.716666666666665,25.716666666666665,16,1,37,Sedgwick,3
P3,39,16,25.716666666666665,25.716666666666665,16,1,39,Pershing,3
P3,4,16,9.466666666666667,9.466666666666667,16,1,4,Cottage Grove,3
P3,43,16,18,18,16,1,43,43rd,3
P3,44,16,20,20,16,1,44,Wallace/Racine,3
P3,47,16,9.466666666666667,9.466666666666667,16,1,47,47th,3
P3,48,16,180,180,16,1,48,South Damen,3
P3,49,16,7.833333333333333,7.833333333333333,16,1,49,Western,3
P3,49B,16,11.25,11.25,16,1,49B,North Western,3
P3,50,16,15,15,16,1,50,Damen,3
P3,51,16,18,18,16,1,51,51st,3
P3,52,16,13.85,13.85,16,1,52,Kedzie,3
P3,52A,16,18,18,16,1,52A,South Kedzie,3
P3,53,16,9,9,16,1,53,Pulaski,3
P3,53A,16,15,15,16,1,53A,South Pulaski,3
P3,54,16,9.466666666666667,9.466666666666667,16,1,54,Cicero,3
P3,54A,16,180,180,16,1,54A,North Cicero/Skokie Blvd.,3
P3,54B,16,22.5,22.5,16,1,54B,South Cicero,3
P3,55,16,9.9,10,16,1,55,Garfield,3
P3,55N,16,22.5,22.5,16,1,55N,55th/Narragansett,3
P3,56,16,16.366666666666667,16.366666666666667,16,1,56,Milwaukee,3
P3,57,16,18,18,16,1,57,Laramie,3
P3,59,16,20,20,16,1,59,59th/61st,3
